AÑO,PERSONA,TIPO DE SERVICIO,NOMBRE DE LA TAREA,MODALIDAD,COMPLEJIDAD
2019,ID_229,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_230,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_231,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_232,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_233,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_234,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_235,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_236,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_237,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_238,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_239,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_240,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_241,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_242,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_243,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_244,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_245,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_246,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_247,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_248,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_249,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_250,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_251,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_75,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_252,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_253,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_254,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_255,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_256,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_156,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_257,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_258,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_259,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_260,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_261,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_262,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_263,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_264,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_265,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_266,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_267,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_268,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_269,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_270,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_271,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_87,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_272,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_273,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_274,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_275,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_276,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_277,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
2019,ID_278,SERV_1,TAREA_1.1,PRESENCIAL,BAJA
